formula,state,H,S,G
Fe4N,(s),-10.46,156.0632,3.7656
Fe7S8,(s pyrrhotite),-736.384,485.7624,-748.5176
FeAl2O4,(s),-1966.48,106.2736,-1849.328
FeAsS,(s),-41.84,121.336,-50.208
FeB2,(s),-249.7848,140.66608,-237.2328
FeCl2,(s),-341.79096,117.94696,-302.33584
FeCl3,(s),-399.48832,142.256,-334.05056
FeCO3,(s siderite),-740.568,92.8848,-666.7204
FeCr2O4,(s),-1444.7352,146.0216,-1343.9008
FeF2,(s),-702.912,86.98536,-661.072
FeF3,(s),-1041.816,98.324,-970.688
FeI2,(s),-104.6,167.36,-112.968
FeMoO4,(s),-1075.288,129.2856,-974.872
FeO,(s),-271.96,60.75168,-251.4584
FeOH+1,(aq),-324.6784,-29.288,-277.3992
FePO4.2H2O,(s strengite),-1888.2392,171.25112,-1657.7008
FeS,(s pyrrhotite),-99.9976,60.29144,-100.416
FeS2,(s pyrite),-178.2384,52.9276,-166.9416
FeSi,(s),-73.6384,46.024,-73.6384
FeSi2,(s beta-lebanite),-81.1696,55.6472,-78.2408
FeSO4,(s),-928.4296,120.9176,-825.0848
FeSO4.7H2O,(s),-3014.572,409.1952,-2510.27448
FeWO4,(s),-1154.784,131.796,-1054.368
FNO3,(g),10.46,292.88,73.6384
Fr,(s),0,94.14,0
Fr,(g),72.8016,181.92032,46.6516
Fr2O,(s),-338.904,156.9,-299.156
H+1,(aq),0,0,0
H2,(g),0,130.586824,0
H2AsO4-1,(aq),-909.55976,117.152,-753.28736
H2CS3,(l),25.104,223.0072,27.8236
H2MoO4,(g),-851.0256,355.64,-787.4288
H2O,(g),-241.818464,188.715136,-228.588656
H2O,(l),-285.82996,69.91464,-237.178408
H2O2,(g),-136.10552,232.88144,-105.47864
H2O2,(l),-187.77792,109.6208,-120.41552
H2PO4-1,(aq),-1296.28688,90.3744,-1130.39128
H2S,(g),-20.16688,205.76912,-33.0536
H2Se,(g),29.7064,218.90688,15.8992
H2Se,(g),29.7064,218.90688,15.8992
H2SiO3,(s),-1188.6744,133.888,-1092.4424
H2SO4,(l),-813.9972,156.9,-690.06712
H2SO4,(g),-740.568,289.1144,-656.0512
H2VO4-1,(aq),-1174.0304,121.336,-1020.896
H2WO4,(s),-1131.772,146.44,-1004.16
H2WO4,(g),-905.4176,351.456,-839.7288
H3BO3,(s),-1094.3252,88.82632,-969.0144
H3PO4,(l),-1254.3632,150.624,-1111.6888
H3PO4,(s),-1266.9152,110.54128,-1112.5256
H4SiO4,(s),-1481.136,192.464,-1333.0224
HAsO4-2,(aq),-906.33808,-1.6736,-714.71088
HBO2,(s orthorhombic),-788.76768,50.208,-721.74
HBO2,(s monoclinic),-794.24872,37.656,-723.4136
HBr,(g),-36.44264,198.61448,-53.51336
HCl,(g),-92.29904,186.77376,-95.31152
HClO,(g),-92.048,236.6052,-79.496
HCN,(g),135.1432,201.6688,124.6832
HCN,(l),108.86768,112.84248,124.93424
HCO3-1,(aq),-691.99176,91.2112,-586.84784
HCrO4-1,(aq),-878.2216,184.096,-764.8352
He,(g),0,126.038816,0
HF,(g),-271.1232,173.67784,-273.2152
Hg,(l),0,76.02328,0
Hg,(g),61.31652,174.84936,31.852792
Hg(CH3)2,(l),59.8312,209.2,140.164
Hg(CH3)2,(g),94.39104,305.432,146.0216
Hg2(N3)2,(s),594.128,205.016,746.4256
Hg2Br2,(s),-206.8988,218.73952,-181.075152
Hg2Cl2,(s),-265.22376,192.464,-210.777368
Hg2CO3,(s),-553.5432,179.912,-468.1896
Hg2F2,(s),-485.344,158.992,-426.768
Hg2I2,(s),-121.336,242.672,-111.00152
Hg2SO4,(s),-743.12024,200.66464,-625.880376
HgBr2,(s),-170.7072,170.33064,-153.1344
HgCl,(g),84.0984,259.78456,62.76
HgCl2,(s),-224.2624,146.0216,-178.6568
HgF2,(s),-422.584,116.3152,-372.376
HgH,(g),239.99424,219.49264,216.01992
HgI,(g),132.38176,281.41584,88.44976
HgI2,(g),-17.1544,336.01704,-59.8312
HgI2,(s red),-105.4368,181.1672,-101.6712
HgO,(s yellow),-90.45808,71.128,-58.425376
HgO,(s red hexagonal),-89.5376,71.128,-58.24128
HgO,(s red orthorhombic),-90.83464,70.2912,-58.55508
HgS,(s red),-58.1576,82.4248,-50.6264
HgS,(s black),-53.5552,88.2824,-47.6976
HgSe,(g),75.7304,267.02288,31.38
HgSe,(s),-46.024,94.14,-38.0744
HgTe,(s),-33.8904,106.692,-28.0328
HI,(g),26.48472,206.4804,1.71544
HN2O2-1,(aq),-39.3296,142.256,76.1488
HN3,(g),294.1352,238.86456,328.0256
HNCO,(g),-116.7336,238.11144,-107.36144
HNCS,(g),127.612,247.6928,112.968
HNO2,(g cis),-76.5672,249.32456,-41.84
HNO2,(g trans),-78.6592,249.1572,-43.932
HNO3,(l),-173.2176,155.60296,-79.9144
HNO3,(g),-135.05952,266.26976,-74.76808
HOF,(g),-98.324,226.64728,-85.64648
HPO4-2,(aq),-1292.14472,-33.472,-1089.26256
HReO4,(s),-762.3248,158.1552,-664.8376
HS-1,(aq),-17.5728,62.76,12.04992
HSe-1,(aq),15.8992,79.496,43.932
HSeO3-1,(aq),-514.54832,135.1432,-411.53824
HSeO3-1,(aq),-514.54832,135.1432,-411.53824
HSeO4-1,(aq),-581.576,149.3688,-452.2904
HSeO4-1,(aq),-581.576,149.3688,-452.2904
HSO3-1,(aq),-626.21928,139.7456,-527.8116
HSO3F,(g),-753.12,297.064,-690.36
HVO4-2,(aq),-1158.968,16.736,-974.872
I-1,(aq),-55.18696,111.2944,-51.58872
I2,(s),0,116.135288,0
I2,(g),62.437832,260.57952,19.359368
IBr,(g),40.83584,258.663248,3.72376
ICl,(l),-23.89064,135.1432,-13.598
ICl,(g),17.782,247.44176,-5.4392
ICl3,(s),-89.5376,167.36,-22.34256
IF,(g),-95.64624,236.06128,-118.49088
IF5,(g),-840.1472,334.72,-771.5296
IF7,(g),-943.9104,346.4352,-818.3904
IO,(g),175.05856,245.3916,149.7872
IO-1,(aq),-107.5288,-5.4392,-38.4928
IO3-1,(aq),-221.3336,118.4072,-128.0304
K,(g),89.1192,90.03968,60.668
K,(l),2.284464,71.46272,0.263592
K,(s),0,64.68464,0
K2B4O7,(s),-3334.2296,208.3632,-3136.7448
K2CO3,(s),-1150.1816,155.51928,-1064.4096
K2O,(s),-363.1712,94.14,-322.168
K2O2,(s),-495.804,112.968,-429.6968
K2SiO3,(s),-1548.08,146.14712,-1455.6136
K2SO4,(s),-1433.68944,175.728,-1316.37008
K3AlCl6,(s),-2092,376.56,-1938.4472
KAl(SO4)2,(s),-2465.38016,204.5976,-2235.46936
KAl(SO4)2.12H2O,(s),-6057.34416,687.4312,-5137.1152
KAlCl4,(s),-1196.624,196.648,-1096.208
KBF4,(s),-1886.984,133.888,-1784.8944
KBH4,(s),-226.7728,106.60832,-159.8288
KBO2,(s),-994.9552,79.99808,-978.6376
KBr,(s),-392.16632,96.4412,-379.19592
KBrO3,(s),-332.2096,149.1596,-243.5088
KCl,(s),-435.88912,82.67584,-408.31656
KCl,(g),-215.8944,239.49216,-235.1408
KClO3,(s),-391.204,142.96728,-289.90936
KClO4,(s),-430.1152,151.0424,-300.4112
KCN,(s),-113.47008,127.77936,-102.04776
KF,(s),-568.6056,66.56744,-538.8992
KF.2H2O,(s),-1158.968,150.624,-1015.4568
KH,(s),-57.82288,50.208,-34.05776
KH2AsO4,(s),-1135.956,155.14272,-991.608
KHF2,(s),-931.3584,104.26528,-863.1592
KI,(s),-327.64904,106.39912,-322.29352
KIO3,(s),-508.356,151.4608,-425.5128
KMnO4,(s),-813.3696,171.71136,-713.7904
KNO3,(s),-492.70784,132.92568,-393.12864
KO2,(s),-284.512,122.5912,-240.58
KOH,(s),-425.84752,78.8684,-379.0704
Kr,(g),0,163.975144,0
Li,(g),160.6656,138.65776,128.0304
Li,(l),2.380696,33.93224,0.933032
Li,(s),0,160.6656,0
Li2B4O7,(s),-3363.936,155.6448,-3171.472
Li2BeF4,(s),-2273.5856,130.5408,-2171.496
Li2CO3,(s),-1216.03776,90.1652,-1132.1904
Li2O,(s),-598.7304,37.90704,-561.9112
Li2O2,(s),-632.6208,56.484,-571.116
Li2Si2O5,(s),-2561.0264,125.52,-2417.0968
Li2SiO3,(s),-1649.3328,80.3328,-1558.9584
Li2TiO3,(s),-1670.6712,91.75512,-1579.8784
Li3AlF6,(s),-3383.6008,187.8616,-3223.772
Li3N,(s),-197.4848,37.656,-153.9712
LiAlF4,(g),-1853.512,326.352,-1811.672
LiAlH4,(s),-117.152,87.864,-48.5344
LiAlO2,(s),-1189.5112,53.346,-1127.1696
LiBeF3,(s),-1651.8432,89.1192,-1576.1128
LiBH4,(s),-190.45568,75.81408,-124.76688
LiBO2,(s),-1019.2224,51.71424,-963.1568
LiBr,(s),-350.91208,74.0568,-341.6236
LiCl,(s),-408.27472,59.28728,-384.04936
LiCl.H2O,(s),-712.57704,103.7632,-632.6208
LiClO4,(s),-380.744,125.52,-253.9688
LiF,(s),-616.9308,35.64768,-588.6888
LiH,(s),-90.62544,20.04136,-68.45024
LiI,(s),-270.0772,85.772,-269.6588
LiO,(g),83.68,210.8736,60.4588
LiOH,(s),-484.9256,42.80232,-438.9016
LiOH.H2O,(s),-789.81368,92.048,-689.5232
Mg,(s),0,32.693776,0
Mg,(l),9.03744,42.50944,6.10864
Mg,(g),147.61152,148.532,113.09352
Mg(ClO4)2.6H2O,(s),-2445.548,520.908,-1863.1352
Mg(NO3)2,(s),-790.65048,164.0128,-589.5256
Mg(NO3)2.6H2O,(s),-2613.28456,451.872,-2080.7032
Mg(OH)2,(s),-924.664,63.1784,-833.8712
Mg(VO3)2,(s),-2201.57896,160.6656,-2039.40712
Mg+1,(g),891.6104,154.30592,848.9336
Mg+2,(aq),-466.85072,-138.072,-454.8008
Mg2Al4Si5O19,(s cordierite),-9108.568,407.1032,-8598.12
Mg2Ge,(s),-108.784,86.48328,-105.8552
Mg2Si,(s),-77.8224,66.944,-75.312
Mg2SiO4,(s forsterite),-2174.0064,95.14416,-2055.1808
Mg2TiO4,(s),-2164.3832,109.32792,-2047.6496
Mg2V2O7,(s),-2835.9152,200.4136,-2645.29216
Mg3(PO4)2,(s),-3780.6624,189.20048,-3538.8272
Mg3N2,(s),-460.6584,87.864,-400.8272
Mg3Si2O5(OH)4,(s chrysotile),-4365.5856,221.3336,-4037.9784
Mg3Si4O10(OH)2,(s talc),-5922.452,260.6632,-5542.9632
MgAl2O4,(s),-2312.9152,88.7008,-2190.324
MgBr2,(s),-524.2552,117.152,-503.7536
MgBr2.6H2O,(s),-2409.984,397.48,-2056.0176
MgCl2,(s),-641.6164,89.62128,-592.11968
MgCl2.6H2O,(s),-2499.01952,366.1,-2114.97016
MgCl2.6H2O,(s),-1279.71824,179.912,-1118.13216
MgCO3,(s),-1095.7896,65.6888,-1012.1096
MgCr2O4,(s),-1783.6392,106.02256,-1668.9976
MgF2,(s),-1124.2408,57.23712,-1071.104
MgFe2O4,(s),-1428.4176,123.8464,-1317.1232
MgH2,(s),-75.312,31.08712,-35.9824
MgI2,(s),-364.008,129.704,-358.1504
MgMoO4,(s),-1400.84504,118.8256,-1295.74296
MgO,(s microcrystal),-597.97728,27.90728,-565.96968
MgO,(s periclase),-601.6592,26.94496,-569.024
MgS,(s),-346.0168,50.33352,-341.8328
MgSiO3,(s clinoenstatite),-1549.00048,67.7808,-1462.14064
MgSO4,(s),-1284.9064,91.6296,-1170.6832
MgSO4.6H2O,(s),-3086.9552,348.1088,-2632.1544
MgSO4.7H2O,(s),-3388.70528,372.376,-2871.8976
MgSO4.H2O,(s),-1602.0536,126.3568,-1428.836
MgTi2O5,(s),-2509.5632,127.27728,-2366.8888
MgTiO3,(s),-1572.7656,74.55888,-1484.0648
MgWO4,(s),-1532.5992,101.16912,-1420.8864
Mn,(s alpha),0,32.0076,0
Mn,(s gamma),1.54808,32.426,1.42256
Mn,(g),280.7464,173.59416,238.488
Mn(IO3)2,(s),-669.44,263.592,-520.4896
Mn(OH)2,(s precipitated/amorphous),-695.3808,99.1608,-615.048
Mn+2,(aq),-220.83152,-73.6384,-228.028
Mn2O3,(s),-958.9728,110.4576,-881.1504
Mn2SiO4,(s),-1730.5024,163.176,-1632.1784
Mn3C,(s),4.6024,98.7424,5.4392
Mn3O4,(s),-1387.8328,155.6448,-1283.2328
MnC2O4.2H2O,(s),-1628.4128,200.832,-1415.0288
MnCl2,(s),-481.28552,118.23984,-440.53336
MnCl2.2H2O,(s),-1092.024,218.8232,-942.2368
MnCl2.4H2O,(s),-1687.4072,303.34,-1423.8152
MnCl2.H2O,(s),-789.9392,174.0544,-696.2176
MnCO3,(s natural),-894.1208,85.772,-816.7168
MnCO3,(s precipitated),-882.824,112.968,-811.696
MnF2,(s),-790.776,-748.936,92.2572
MnO,(s),-385.22088,59.70568,-362.92016
MnO2,(s),-520.02936,53.05312,-465.17712
MnO4-1,(aq),-541.4096,191.2088,-447.2696
MnO4-2,(aq),-652.704,58.576,-500.8248
MnS,(s green),-214.2208,78.2408,-218.4048
MnSe,(s),-106.692,90.7928,-111.7128
MnSiO3,(s),-1320.8888,89.1192,-1240.556
MnSO4,(s),-1065.2464,112.1312,-957.42472
N,(g),472.704136,153.188792,455.579024
N2,(g),0,191.50168,0
N2F2,(g trans),81.1696,262.546,120.4992
N2F2,(g cis),66.944,259.8264,108.784
N2H2,(g trans),182.4224,220.12024,212.9656
N2H2,(g cis diimide),213.384,218.4048,243.0904
N2H4,(g),95.3952,238.36248,159.28488
N2H4,(l),50.6264,121.21048,149.24328
N2O,(g),82.04824,219.74368,104.1816
N2O2,(g),170.37248,287.52448,202.88216
N2O2-2,(aq),-17.1544,27.6144,138.9088
N2O3,(g),83.72184,312.16824,139.41088
N2O4,(l),-19.58112,209.24184,97.40352
N2O4,(g),9.16296,304.1768,97.82192
N2O4,(s),-35.02008,150.28928,99.53736
N2O5,(s),11.2968,347.18832,117.69592
N3-1,(aq),275.13984,107.9472,348.1088
Na,(s),0,51.4632,0
Na,(l),2.4058,57.86472,0.497896
Na,(g),107.738,153.59464,77.32032
Na2B4O7,(s),-3276.072,189.5352,-3083.608
Na2CO3,(s),-1130.9352,135.98,-1047.6736
Na2O,(s),-415.8896,72.8016,-376.56
Na2O2,(s),-513.3768,94.80944,-449.78
Na2S,(s),-373.2128,97.9056,-359.824
Na2SiO3,(s),-1518.792,113.8048,-1426.744
Na2SO3,(s),-1090.3504,146.0216,-1002.068
Na2SO4,(s),-1384.4856,149.49432,-1266.83152
Na2SO4.10H2O,(s),-4324.08032,592.8728,-3643.97112
Na2WO4,(s),-1543.896,160.2472,-1430.928
Na3AlCl6,(s),-1979.032,347.272,-1828.408
Na3AlF6,(s cryolite),-3309.544,238.488,-3142.184
Na3AlF6,(l),-3238.416,286.604,-3088.2104
NaAlCl4,(s),-1142.232,188.28,-1041.816
NaAlO2,(s),-1133.0272,70.41672,-1069.4304
NaBH4,(s),-191.8364,101.37832,-127.10992
NaBO2,(s),-975.7088,73.51288,-919.2248
NaBr,(s),-361.41392,86.818,-349.28032
NaCl,(s),-410.99432,72.3832,-384.04936
NaClO4,(s),-382.75232,142.256,-254.34536
NaF,(s),-575.3,51.21216,-545.1752
NaH,(s),-56.44216,39.99904,-33.55568
NaH,(g),125.01792,187.98712,103.67952
NaHCO3,(s),-947.676,102.0896,-851.8624
NaI,(s),-288.02656,98.324,-284.512
NaNO3,(s),-466.68336,116.3152,-365.8908
NaOH,(l),-416.89376,75.85592,-374.13328
NaOH,(s),-426.72616,64.4336,-379.0704
NaOH.H2O,(s),-732.91128,84.5168,-623.416
Ne,(g),0,146.2308,0
NF3,(g),-131.3776,260.6632,-89.956
NH,(g imidogen),377.22944,181.12536,371.24632
NH2,(g amidogen),190.372,194.59784,199.82784
NH3,(g),-46.10768,192.33848,-16.48496
NH4,(s carbamate),-645.04728,133.4696,-448.06456
NH4+1,(aq),-132.50728,113.3864,-79.37048
NH4Al(SO4)2,(s),-2352.2448,216.3128,-2038.4448
NH4Br,(s),-270.83032,112.968,-175.3096
NH4Cl,(s),-314.4276,94.5584,-202.96584
NH4ClO4,(s),-295.30672,184.17968,-88.91
NH4F,(s),-463.96376,71.9648,-348.77824
NH4H2AsO4,(s),-2189.4872,172.04608,-833.0344
NH4H2PO4,(s),-1445.06992,151.96288,-1210.55672
NH4HCO3,(s),-849.352,120.9176,-666.0928
NH4HF2,(s),-802.9096,115.52024,-651.0304
NH4HS,(s),-156.9,97.4872,-50.6264
NH4HSe,(s),-133.0512,96.6504,-23.4304
NH4I,(s),-201.41776,117.152,-112.5496
NH4N3,(s),115.4784,112.5496,274.052
NH4NO3,(s),-365.55608,151.08424,-184.01232
NH4OH,(l),-361.20472,165.56088,-254.13616
NH4ReO4,(s),-945.584,232.6304,-774.8768
NH4VO3,(s),-1053.1128,140.5824,-888.2632
Ni,(g),429.6968,182.083496,384.5096
Ni,(s),0,29.87376,0
Ni(CN)4-2,(aq),367.7736,217.568,471.9552
Ni(CO)4,(g),-602.9144,410.4504,-587.26624
Ni(CO)4,(l),-633.0392,313.3816,-588.2704
Ni(IO3)2,(s),-489.1096,213.384,-326.352
Ni+2,(aq),-53.9736,-128.8672,-45.6056
Ni3S2,(s),-202.924,133.888,-197.0664
NiCl2,(s),-305.331584,97.65456,-259.064912
NiCl2.2H2O,(s),-922.1536,175.728,-760.2328
NiCl2.4H2O,(s),-1516.7,242.672,-1235.1168
NiCl2.6H2O,(s),-2103.17128,344.3432,-1713.51536
NiF2,(s),-651.4488,73.59656,-604.1696
NiO,(s),-239.7432,37.99072,-211.7104
NiS,(s),-82.0064,52.96944,-79.496
NiSO4,(s),-872.90792,97.0688,-759.8144
NiSO4.6H2O,(s tetrahedral),-2682.82264,332.171944,-2224.96752
NiSO4.7H2O,(s),-2976.33024,378.94488,-2462.24216
NO,(g),90.24888,210.651848,86.56696
NO2,(g),33.17912,239.9524,51.29584
NO2-1,(aq),-104.6,140.164,-37.2376
NO2Cl,(g),12.552,272.04368,54.392
NO2F,(g),-79.496,260.2448,-37.2376
NO3,(g),70.9188,252.54624,114.47424
NO3-1,(aq),-207.35904,146.44,-111.33624
NOBr,(g),82.17376,273.54992,82.4248
NOCl,(g),51.71424,261.58368,66.06536
NOF,(g),-65.6888,247.98568,-50.29168
NOF3,(g),-163.176,278.40336,-96.232
O2,(g),0,205.028552,0
O2F2,(g),19.79032,268.11072,61.42112
O3,(g),142.6744,238.82272,163.176
OCN-1,(aq),-146.0216,106.692,-97.4872
OF,(g),124.2648,217.73536,120.12264
OF2,(g),24.51824,247.31624,41.75632
OH-1,(aq),-229.99448,-10.75288,-157.27656
P,(s red V),0,22.8028,0
P,(l red V),18.07488,42.886,12.09176
P,(g red V),333.8832,163.09232,292.0432
P,(s alpha white),17.44728,41.08688,12.00808
P2,(g),146.18896,218.02824,103.7632
P2H4,(l),-5.0208,167.36,66.944
P2O7-4,(aq),-2271.0752,-117.152,-1919.2008
P4,(g),128.8672,128.8672,72.3832
P4O10,(s hexagonal),-2940.0968,228.8648,-2675.2496
P4S3,(g),-81.1696,319.15552,-120.4992
P4S3,(s),-154.808,200.832,-158.992
P4S3,(l),-151.0424,207.108,-156.9
Pb,(g),195.602,175.26776,162.63208
Pb,(l),4.2886,71.71376,2.221704
Pb,(s),0,64.76832,0
Pb(IO3)2,(s),-495.3856,312.9632,-351.456
Pb(N3)2,(s monoclinic),478.2312,148.1136,624.6712
Pb(N3)2,(s orthorhombic),476.1392,149.3688,622.1608
Pb(ReO4)2.2H2O,(s),-2234.256,309.616,-1903.72
Pb2SiO4,(s),-1376.536,187.0248,-1267.752
Pb3(PO4)2,(s),-2595.3352,353.1296,-2432.5776
Pb3O4,(s),-718.8112,212.1288,-601.6592
PbB2O4,(s),-1556.448,130.5408,-1450.1744
PbB4O7,(s),-2857.672,166.9416,-2667.3
PbBr,(g),71.128,272.3784,31.7984
PbBr2,(g),-104.3908,339.28056,-140.83344
PbBr2,(s),-277.3992,161.12584,-260.74688
PbBr2,(l),-267.39944,173.88704,-254.55456
PbBr4,(g),-456.34888,426.09856,-473.29408
PbC2O4,(s),-851.444,146.0216,-750.1912
PbCl,(g),15.0624,259.49168,-9.6232
PbCl2,(s),-359.4056,135.98,-314.17656
PbCl2,(l),-344.25952,153.17624,-304.21864
PbCl2,(g),-174.0544,317.10536,-182.79896
PbCl4,(g),-552.41352,381.53896,-513.87888
PbClF,(s),-534.7152,121.7544,-488.2728
PbCO3,(s),-699.1464,130.9592,-625.508
PbF,(g),-80.3328,249.82664,-105.0184
PbF2,(s alpha),-676.9712,112.968,-630.9472
PbF2,(s beta),-676.1344,114.4324,-631.1564
PbF4,(g),-1133.4456,333.50664,-1092.69344
PbI2,(l),-157.69496,198.90736,-161.87896
PbI2,(s),-175.39328,174.84936,-173.59416
PbI4,(g),-224.4716,466.13944,-274.8888
PbMoO4,(s),-1051.8576,166.1048,-951.4416
PbO,(s red),-218.99056,66.5256,-189.24232
PbO,(s yellow),-218.07008,68.70128,-188.65656
PbO.PbCO3,(s),-918.388,204.1792,-816.7168
PbO2,(s),-274.4704,71.79744,-215.476
PBr3,(g),-139.3272,347.98328,-162.7576
PBr3,(l),-184.5144,240.1616,-175.728
PbS,(s),-98.324,91.33672,-96.73408
PbSe,(s),-102.9264,102.508,-101.6712
PbSeO4,(s),-609.1904,167.7784,-505.0088
PbSiO3,(s),-1145.1608,110.0392,-1061.0624
PbSiO4,(s),-2023.8008,84.01472,-1909.5776
PbSO4,(s),-919.93608,148.57384,-813.20224
PbTe,(s),-70.7096,110.0392,-69.4544
PCl3,(l),-319.6576,217.1496,-272.3784
PCl3,(g),-287.0224,311.66616,-267.776
PCl5,(g),-342.6696,364.46824,-278.236
PF3,(g),-918.8064,273.13152,-897.468
PF5,(g),-1576.9496,300.8296,-1508.7504
PH,(g),255.224,196.2296,221.752
PH3,(g),23.012,210.20416,25.5224
PH4Br,(s),-127.612,110.0392,-47.6976
PH4I,(s),-69.8728,123.0096,0.8368
PN,(g),32.46784,211.0828,10.33448
Po,(g),145.6032,188.82392,107.9472
PO,(g),-12.1336,222.676664,-41.17056
PO4-3,(aq),-1277.3752,-221.752,-1018.804
POBr3,(g),-389.112,359.69848,-390.91112
POCl2F,(g),-748.936,320.2852,-711.28
POCl3,(g),-542.2464,325.34784,-502.4984
POCl3,(l),-597.0568,222.46328,-520.908
POClF2,(g),-953.952,301.58272,-912.112
POF3,(g),-1236.7904,285.30696,-1193.6952
PSBr3,(g),-263.592,372.71072,-288.696
PSCl3,(g),-363.1712,337.2304,-347.6904
PSF3,(g),-991.608,298.02632,-973.6168
Ra,(g),158.992,176.3556,129.704
Ra,(s),0,71.128,0
Ra(IO3)2,(s),-1026.7536,271.96,-868.5984
Ra(NO3)2,(s),-991.608,221.752,-796.2152
RaCl2.2H2O,(s),-1464.4,213.384,-1302.8976
RaSO4,(s),-1471.0944,138.072,-1365.6576
Rb,(g),85.81384,169.99592,55.8564
Rb,(s),0,69.4544,0
RbBr,(s),-389.23752,104.93472,-378.14992
RbCl,(s),-435.05232,94.5584,-412.04032
RbClO3,(s),-392.4592,151.8792,-292.0432
RbClO4,(s),-434.59208,160.6656,-306.22696
RbI,(s),-328.444,118.03064,-325.5152
Rn,(g),0,176.10456,0
S,(s rhombic),0,31.92392,0
S,(g),277.35736,167.73656,236.85624
S,(l),1.42256,35.1456,0.37656
S2,(g),129.03456,228.06984,80.08176
S-2,(aq),33.0536,-14.644,85.772
S2Cl2,(g),-19.49744,319.4484,-29.24616
S2O4-2,(aq),-753.5384,92.048,-600.404
S2O8-2,(aq),-1338.88,248.1112,-1110.4336
S8,(g),101.2528,430.19888,49.162
SF2Cl,(g),-1048.092,319.07184,-949.3496
SF4,(g),-728.4344,291.12272,-684.83712
SF6,(g),-1220.8912,291.70848,-1115.8728
Si,(g),455.6376,167.86208,411.2872
Si,(s),0,18.828,0
Si2,(g),594.128,229.78528,535.552
Si2H6,(g),80.3328,272.54576,127.1936
Si3N4,(s),-743.4968,112.968,-581.576
SiBr4,(l),-457.3112,277.8176,-443.9224
SiBr4,(g),-415.4712,377.77336,-431.7888
SiC,(s beta cubic),-73.22,16.61048,-70.7096
SiC,(s alpha hexagonal),-71.5464,16.48496,-69.036
SiC,(g),615.048,236.6052,552.288
SiCl2,(g),-165.64456,280.328,-177.1924
SiCl4,(g),-662.7456,330.61968,-622.5792
SiCl4,(l),-687.0128,239.7432,619.90144
SiF,(g),7.1128,225.68496,-24.2672
SiF2,(g),-587.852,256.81392,-598.312
SiF4,(g),-1614.94032,282.37816,-1572.68192
SiH3Cl,(g),-200.832,250.53792,-179.912
SiH3F,(g),-439.32,238.2788,-418.4
SiH4,(g),30.5432,204.51392,56.9024
SiHCl3,(l),-539.3176,227.6096,-482.58256
SiN,(g),486.51552,216.64752,456.09784
SiO2,(s cristobalite),-909.47608,42.6768,-855.87904
SiO2,(s quartz),-910.94048,41.84,-856.674
SiO2,(c amorphous),-903.49296,46.8608,-850.73272
SiO2,(s tridymite),-909.05768,43.5136,-855.29328
SiOF2,(g),-966.504,271.16504,-949.768
SiS,(g),112.46592,223.55112,60.91904
SiS2,(s),-213.384,80.3328,-212.5472
Sn,(s white),0,51.54688,0
Sn,(s gray),-2.092,44.1412,0.12552
Sn,(g),302.0848,168.376712,267.3576
SnBr4,(g),-314.6368,411.83112,-331.3728
SnBr4,(s),-377.3968,264.4288,-350.2008
SnCl4,(l),-511.2848,258.5712,-440.1568
SnH4,(g),162.7576,227.56776,188.28
SnO,(s),-285.7672,56.484,-256.8976
SnO2,(s),-580.7392,52.3,-519.6528
SnS,(s),-100.416,76.9856,-98.324
SO,(g),4.882728,221.83568,-21.17104
SO2,(g),-296.829696,248.1112,-300.193632
SO2Cl2,(g),-354.8032,311.83352,-310.4528
SO2F2,(g),-758.5592,283.92624,-712.1168
SO3,(g),-395.72272,256.64656,-371.07896
SO3,(l),-441.03544,95.6044,-368.35936
SO3,(s beta),-454.50792,52.3,-368.98696
SO3-2,(aq),-635.5496,-29.288,-486.5992
SO4-2,(aq),-909.26688,20.0832,-744.62648
SOCl2,(g),-212.5472,309.65784,-198.3216
Sr,(g),164.0128,164.51488,130.5408
Sr,(l),7.61488,57.15344,6.15048
Sr,(s),0,52.3,0
Sr(BrO3)2.H2O,(s),-1104.576,280.328,-791.1944
Sr(IO3)2,(s),-1019.2224,234.304,-855.2096
Sr(IO3)2.6H2O,(s),-2789.8912,456.056,-2274.8408
Sr(NO3)2,(s),-978.2192,194.556,-780.14864
Sr(NO3)2.4H2O,(s),-2154.76,369.0288,-1730.7116
Sr2SiO4,(s),-2304.5472,153.1344,-2191.1608
Sr2TiO4,(s),-2287.3928,158.992,-2178.6088
Sr3(AsO4)2,(s),-3317.0752,255.224,-3080.2608
SrBr2,(s),-717.9744,143.42752,-699.774
SrBr2.6H2O,(s),-2531.32,405.848,-2174.4248
SrCl2,(s),-828.8504,114.8508,-781.02728
SrCl2.2H2O,(s),-1438.0408,217.568,-1281.9776
SrCl2.6H2O,(s),-2623.7864,390.7856,-2241.24328
SrCO3,(s strontianite),-1220.0544,97.0688,-1140.14
SrF2,(s),-1217.1256,82.13192,-1165.57872
SrHPO4,(s),-1821.7136,121.336,-1688.6624
SrI2,(s),-561.4928,159.11752,-558.73136
SrO,(s),-592.036,55.52168,-562.41328
SrS,(s),-453.1272,68.1992,-448.5248
SrSiO3,(s),-1633.852,96.6504,-1549.7536
SrSO4,(s),-1453.1032,117.5704,-1340.972
SrTiO3,(s),-1672.38664,108.784,-1588.41376
SrWO4,(s),-1639.7096,138.072,-1531.344
SrZrO3,(s),-1767.3216,115.06,-1682.8048
